,login,fork_num,commit,star
0,UziTech,298,478305,8
0,yopefonic,4,22615,0
0,pimterry,134,285127,6
0,prantlf,167,174244,105
0,prather-mcs,1,0,0
0,mrlannigan,52,45831,0
0,robinboehm,108,127381,5
0,rohit,1,0,0
0,Havunen,67,77499,1
0,seanparmelee,9,30219,0
0,a-r-d,44,122431,1
0,albertandrejev,23,9838,71
0,rupurt,82,100397,26
0,ajvincent,10,982,0
0,doochik,106,180439,9
0,megahertz,2,25,0
0,btakita,123,171025,59
0,caiotoon,39,150060,5
0,thewoolleyman,87,133519,61
0,charleshansen,17,7791,0
0,chivesrs,1,27157,0
0,ChrisTM,7,12739,0
0,codymikol,49,101529,1
0,DamienCassou,223,190864,32
0,bjornblomqvist,32,34053,45
0,dburt,13,5117,10
0,d-reinhold,10,15808,0
0,fabiomcosta,98,121941,56
0,tidoust,101,15360,2
0,gunnarahlberg,82,167777,20
0,jboyens,39,164486,12
0,jcracknell,8,6906,0
0,jan-molak,153,180796,5
0,deadlyicon,87,206347,29
0,javenwang,24,37095,1
0,jhamon,12,3976,0
0,kevinoid,89,160790,2
0,lee101,24,98598,0
0,plukevdh,82,77442,14
0,maciej-filip-sz,6,6984,3
0,mark-rushakoff,67,213299,14
0,mauricioborges,69,120565,0
0,marneborn,28,69097,0
0,nicojs,63,142880,0
0,Olical,46,43013,18
0,ptomato,54,71510,3
0,Finesse,4,514,5
0,teobais,56,160898,1
0,lpww,24,6621,1
0,tgirardi,28,48141,1
0,anseki,7,27372,0
0,bengrunfeld,9,18806,1
0,grosser,309,130175,375
0,minhyeong-kim,1,62,0
0,shprink,42,196283,6
0,aaronang,80,222945,1
0,asherwoodcnet,1,0,0
0,slothmonster,17,37649,0
0,parloti,44,63406,0
0,alextreppass,14,21357,0
0,akoptsov,8,11667,2
0,ath0mas,69,60950,4
0,andrewiggins,69,147409,7
0,AndreWillomitzer,11,48450,0
0,aeisenberg,75,121664,17
0,acinader,71,195082,6
0,aj-dev,20,19040,0
0,bcaudan,17,104868,0
0,beatrichartz,100,80922,10
0,bjarkler,12,87918,0
0,basawyer,14,30108,0
0,bbigras,122,60118,1
0,cbandy,53,97878,11
0,lalunamel,1,65,0
0,bodawei,19,13706,3
0,danfinnie,43,40292,5
0,thedeeno,153,169673,65
0,dankurka,24,37410,16
0,DanielHeath,121,140915,15
0,danilovaz,219,341851,4
0,Dari-K,11,46716,0
0,kant,110,8219,1
0,davetron5000,2,2070,0
0,divido,7,3551,0
0,dirkpuge,9,9711,1
0,dtychshenko,7,28170,0
0,edtsech,58,503985,242
0,epabst,32,49211,5
0,eahanson,22,3894,4
0,alur,14,18489,1
0,EsrefDurna,105,179394,2
0,riophae,3,784,0
0,gabrielhpugliese,32,35397,8
0,gdborton,49,105813,1
0,kiewic,10,32403,3
0,gregeinfrank,37,58554,2
0,greghuc,5,395,0
0,slackersoft,11,14831,2
0,henrahmagix,46,22300,3
0,himajasuman,11,165757,0
0,eltociear,685,2320680,16
0,ikonst,56,79212,1
0,James-Dunn,8,78319,0
0,thw0rted,25,93368,0
0,JannesMeyer,5,15920,0
0,trusktr,227,386532,17
0,joeyparrish,49,29930,7
0,johnlinp,49,289913,0
0,jberney,8,2916,0
0,joscha,258,353176,154
0,jpalermo,40,45317,5
0,joshk,47,84723,4
0,jurko-gospodnetic,24,42491,0
0,aligneddev,4,142,0
0,kkirsche,341,840662,15
0,kris7t,23,10827,3
0,ljwall,22,54331,0
0,limonte,4,55,0
0,kryger,7,6228,0
0,majidmade,4,48764,0
0,Maximaximum,33,117456,0
0,marcioj,81,130674,40
0,mcamac,22,28124,1
0,ertrzyiks,122,96742,2
0,nextmat,53,44474,26
0,mattc41190,24,69738,0
0,matthewhuff89,1,4,0
0,m1010j,4,2400,0
0,leahciMic,91,85988,3
0,mmocny,32,31073,39
0,metaweta,5,1798,0
0,chernetsov,7,31299,0
0,mkhanal,8,27465,0
0,pivotalzergling,5,1434,0
0,Nebojsaa,11,10494,0
0,dubzzz,63,153659,5
0,obastemur,43,85227,1
0,eventlistener,1,37,0
0,olleolleolle,1377,356057,53
0,Osukaru,30,94292,13
0,rullopat,2,2297,0
0,myitcv,15,5093,23
0,paulvanbrenk,34,95651,3
0,pvdlg,47,94992,2
0,prayagverma,30,62106,7
0,rachelcarmena,38,52908,1
0,evoL,21,43608,7
0,reinrl,22,18483,2
0,robbyice,3,126853,0
0,cathoderay,13,9690,8
0,sderickson,3,6194,0
