,login,reponum,code,star,commit,Objective-C,Clojure,Java,Go,JavaScript,Swift
0,romannekhor,4,802,2,23,0,0,0,2868,0,0
0,ryancw,14,196262,19,211,0,0,0,0,122225,0
0,samhogg,9,82261,31,185,0,0,0,0,1791,0
0,pokoli,27,253244,9,516,0,0,0,0,239112,0
0,sh-tatsuno,40,3517932,20,282,38,0,0,0,0,0
0,moio,8,533086,57,406,0,0,17794,0,0,0
0,snkashis,4,5863,2,61,0,0,0,0,1864,0
0,smokris,13,2169872,144,2910,2538855,0,0,0,20431,0
0,stratosgear,18,148756,3,753,0,0,0,0,0,0
0,pmint93,6,4180,16,159,0,0,0,0,0,0
0,rawyler,9,35377,10,95,0,0,0,0,0,0
0,TomSesselmann,5,880699,0,41,22116,0,6591,0,36312,0
0,tiagovarela,4,1998,2,24,0,0,0,0,0,0
0,spike008t,29,157555,10,889,0,0,0,0,0,0
0,gitim,8,73129,742,150,0,0,0,0,0,0
0,tjmcewan,3,4475,1,91,0,0,0,0,0,0
0,tpope,79,96730,87970,10538,0,0,0,0,0,0
0,tobbbles,8,315336,8,241,0,0,0,1710,0,0
0,tomaspinho,12,879571,1289,386,0,0,0,0,0,0
0,vaenow,41,688110,402,702,554330,0,0,0,0,0
0,fulldecent,78,633789,8535,4970,0,0,0,0,0,0
0,williamjacksn,63,210191,86,4318,0,0,0,0,0,0
0,wsvincent,51,9197233,9003,970,0,0,0,0,841,0
0,amyuki,10,23038,0,127,0,0,0,0,0,0
0,yannickcornaille,1,1946,0,1,0,0,0,0,2655,0
0,yeskas,2,2811,0,110,0,0,2536,0,4599,0
0,yo-iida,16,17709,4,225,0,0,0,0,12868,0
0,YuriGal,0,0,0,0,0,0,0,0,0,0
0,adamfeldman-ris,1,1,0,1,0,0,0,0,0,0
0,ajatamayo,10,260241,0,151,0,0,0,0,0,0
0,aljkor,0,0,0,0,0,0,0,0,0,0
0,asyncopation,1,36,0,4,0,0,0,0,0,0
0,cahlchang,11,73213,4,1179,0,0,0,0,0,0
0,chadawagner,0,0,0,0,0,0,0,0,0,0
0,kaklakariada,22,276107,563,1678,0,0,2810,0,0,0
0,criess,3,206829,0,64,0,0,3988,0,0,0
0,etoulas,10,40200,5,228,0,0,226107,0,0,0
0,dogma0,11,205752,0,346,0,0,0,2239,1064,0
0,ghaudiquet,0,0,0,0,0,0,0,0,0,0
0,hawaiik,2,315,3,25,0,0,0,0,0,0
0,heckendorfc,24,638109,43,1038,0,0,0,0,0,0
0,iGitScor,48,142951,63,513,0,0,0,0,261587,0
0,jf-beauvais,0,0,0,0,0,0,0,0,0,0
0,joannekoong,4,42134,0,91,0,0,0,0,12844,0
0,iamkyu,23,70266,72,702,0,0,0,0,0,0
0,matt-sanders,9,29632,17,304,0,0,0,0,419581,0
0,mix5003,5,164435,1,56,0,0,0,0,126363,0
0,okoriko,0,0,0,0,0,0,0,0,0,0
0,shaohua,58,568126,402,3425,36526,0,0,0,0,0
0,ssilberman,0,0,0,0,0,0,0,0,0,0
0,taogawa,2,9962,3,96,0,0,0,0,368,0
0,wangkang,1,16179,0,99,0,0,182160,0,0,0
0,wsterzik,0,0,0,0,0,0,0,0,0,0
0,xgdgsc,22,114258,13,191,0,0,0,0,0,0
